,,,,Marketwise Price & Arrival Report (03-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Feb, 2026","Price on 02 Feb, 2026","Price on 01 Feb, 2026","Arrival on 03 Feb, 2026","Arrival on 02 Feb, 2026","Arrival on 01 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2775.00,3095.00,-,1.20,0.50,-
Cereals,Wheat,2425.00,2600.47,2593.98,-,14.80,35.00,-
Oil Seeds,Soyabean,5328.00,5499.00,5591.00,-,0.50,1.00,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8050.00,8150.00,-,14.20,30.80,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,6100.00,-,-,0.40,-

